MSOAcode,MSOA name,median house price,affordability ratio
E02000001,City of London 001,924950,14.58
E02000002,Barking and Dagenham 001,323500,10.65
E02000003,Barking and Dagenham 002,310000,9.25
E02000004,Barking and Dagenham 003,350000,9.96
E02000005,Barking and Dagenham 004,312500,10.00
E02000007,Barking and Dagenham 006,310000,10.14
E02000008,Barking and Dagenham 007,305000,9.58
E02000009,Barking and Dagenham 008,298000,9.12
E02000010,Barking and Dagenham 009,300000,9.77
E02000011,Barking and Dagenham 010,323000,10.03
E02000012,Barking and Dagenham 011,435000,12.43
E02000013,Barking and Dagenham 012,305000,10.10
E02000014,Barking and Dagenham 013,310000,9.82
E02000015,Barking and Dagenham 014,270000,9.08
E02000016,Barking and Dagenham 015,221250,6.97
E02000017,Barking and Dagenham 016,350000,11.51
E02000018,Barking and Dagenham 017,307500,9.80
E02000019,Barking and Dagenham 018,295000,9.55
E02000020,Barking and Dagenham 019,304995,9.44
E02000021,Barking and Dagenham 020,285000,9.19
E02000022,Barking and Dagenham 021,317995,8.59
E02000023,Barking and Dagenham 022,305000,8.56
E02000024,Barnet 001,609459.5,12.71
E02000025,Barnet 002,400000,9.98
E02000026,Barnet 003,625000,15.79
E02000027,Barnet 004,512500,15.80
E02000028,Barnet 005,469000,12.08
E02000029,Barnet 006,394975,12.40
E02000030,Barnet 007,640000,19.53
E02000031,Barnet 008,636500,14.22
E02000032,Barnet 009,646500,16.62
E02000033,Barnet 010,475000,14.09
E02000034,Barnet 011,408750,12.17
E02000035,Barnet 012,475000,12.05
E02000036,Barnet 013,500000,13.29
E02000037,Barnet 014,660500,16.99
E02000038,Barnet 015,532500,14.77
E02000039,Barnet 016,930000,21.79
E02000040,Barnet 017,617500,16.92
E02000041,Barnet 018,557500,16.13
E02000042,Barnet 019,435000,11.28
E02000043,Barnet 020,822500,17.90
E02000044,Barnet 021,398500,11.39
E02000045,Barnet 022,440000,11.28
E02000046,Barnet 023,677500,15.75
E02000047,Barnet 024,381000,11.10
E02000048,Barnet 025,563000,15.39
E02000049,Barnet 026,425000,12.93
E02000050,Barnet 027,476250,13.23
E02000051,Barnet 028,528750,14.15
E02000052,Barnet 029,574250,14.47
E02000053,Barnet 030,450000,11.85
E02000054,Barnet 031,440500,14.42
E02000055,Barnet 032,510000,13.47
E02000056,Barnet 033,1135000,29.44
E02000057,Barnet 034,770000,20.10
E02000058,Barnet 035,950000,20.07
E02000059,Barnet 036,457750,11.36
E02000060,Barnet 037,832500,24.50
E02000061,Barnet 038,1175000,22.30
E02000062,Barnet 039,432500,14.44
E02000063,Barnet 040,500000,16.88
E02000064,Barnet 041,507500,14.84
E02000065,Bexley 001,275000,9.02
E02000066,Bexley 002,320000,9.78
E02000067,Bexley 003,264250,8.21
E02000068,Bexley 004,240000,7.17
E02000069,Bexley 005,327500,8.17
E02000070,Bexley 006,385000,10.31
E02000071,Bexley 007,342500,9.61
E02000072,Bexley 008,286950,8.89
E02000073,Bexley 009,414000,11.04
E02000074,Bexley 010,290000,8.79
E02000075,Bexley 011,412000,11.14
E02000077,Bexley 013,400000,11.08
E02000078,Bexley 014,335000,8.67
E02000079,Bexley 015,355000,9.15
E02000080,Bexley 016,370000,10.42
E02000081,Bexley 017,370000,9.70
E02000082,Bexley 018,375000,10.14
E02000083,Bexley 019,305000,8.70
E02000084,Bexley 020,415000,10.86
E02000085,Bexley 021,340000,9.74
E02000086,Bexley 022,377500,10.32
E02000087,Bexley 023,427500,10.02
E02000088,Bexley 024,406000,10.99
E02000089,Bexley 025,450000,12.40
E02000090,Bexley 026,308500,8.70
E02000091,Bexley 027,356000,9.07
E02000092,Bexley 028,332000,9.84
E02000093,Brent 001,485000,14.16
E02000094,Brent 002,450000,12.93
E02000095,Brent 003,495000,14.61
E02000096,Brent 004,675000,18.80
E02000097,Brent 005,490000,13.98
E02000098,Brent 006,617500,16.71
E02000099,Brent 007,542500,14.22
E02000100,Brent 008,660000,16.38
E02000101,Brent 009,323750,10.17
E02000102,Brent 010,412500,11.54
E02000103,Brent 011,475000,13.46
E02000104,Brent 012,567500,17.06
E02000105,Brent 013,350000,9.88
E02000106,Brent 014,337500,17.03
E02000107,Brent 015,499950,14.57
E02000108,Brent 016,360500,11.81
E02000109,Brent 017,400000,12.32
E02000110,Brent 018,673000,20.90
E02000111,Brent 019,360000,11.41
E02000112,Brent 020,440000,11.48
E02000113,Brent 021,385000,12.50
E02000114,Brent 022,463750,13.70
E02000115,Brent 023,600000,13.40
E02000116,Brent 024,430000,13.25
E02000117,Brent 025,389750,13.07
E02000118,Brent 026,420000,12.65
E02000119,Brent 027,390000,14.52
E02000120,Brent 028,550000,13.59
E02000121,Brent 029,335000,10.15
E02000122,Brent 030,900000,26.84
E02000123,Brent 031,445000,16.40
E02000124,Brent 032,670000,20.01
E02000125,Brent 033,900000,24.79
E02000126,Brent 034,515000,18.42
E02000127,Bromley 001,342000,9.35
E02000128,Bromley 002,442500,11.34
E02000130,Bromley 004,490000,12.16
E02000131,Bromley 005,385000,8.96
E02000132,Bromley 006,390000,8.64
E02000133,Bromley 007,677500,14.73
E02000134,Bromley 008,363000,8.61
E02000135,Bromley 009,311250,10.00
E02000136,Bromley 010,465000,14.48
E02000137,Bromley 011,425000,9.43
E02000138,Bromley 012,435000,9.61
E02000139,Bromley 013,457000,10.74
E02000140,Bromley 014,320000,10.34
E02000141,Bromley 015,380995,9.68
E02000142,Bromley 016,455000,11.79
E02000144,Bromley 018,416000,10.07
E02000145,Bromley 019,293500,10.17
E02000146,Bromley 020,415000,10.82
E02000147,Bromley 021,757500,17.12
E02000148,Bromley 022,530750,14.05
E02000149,Bromley 023,356500,9.96
E02000150,Bromley 024,527000,13.68
E02000151,Bromley 025,612500,13.48
E02000152,Bromley 026,416500,11.55
E02000153,Bromley 027,597500,13.82
E02000154,Bromley 028,417250,9.21
E02000155,Bromley 029,357000,10.11
E02000156,Bromley 030,555000,13.68
E02000157,Bromley 031,547500,13.29
E02000158,Bromley 032,475000,12.73
E02000159,Bromley 033,622500,15.85
E02000160,Bromley 034,530000,12.66
E02000161,Bromley 035,500000,11.44
E02000162,Bromley 036,465000,12.47
E02000163,Bromley 037,547500,13.13
E02000165,Bromley 039,365000,9.06
E02000166,Camden 001,922500,17.40
E02000167,Camden 002,1352500,25.09
E02000168,Camden 003,813400,18.72
E02000169,Camden 004,1075000,30.94
E02000170,Camden 005,776000,18.10
E02000171,Camden 006,779000,15.88
E02000172,Camden 007,599762.5,16.88
E02000173,Camden 008,1280000,23.91
E02000174,Camden 009,600000,14.76
E02000175,Camden 010,695000,15.49
E02000176,Camden 011,990000,19.27
E02000177,Camden 012,612500,17.05
E02000178,Camden 013,580000,13.55
E02000179,Camden 014,950000,24.06
E02000180,Camden 015,600000,17.99
E02000181,Camden 016,650000,14.82
E02000182,Camden 017,875000,19.83
E02000183,Camden 018,1055000,24.55
E02000184,Camden 019,710000,13.92
E02000185,Camden 020,438000,13.58
E02000186,Camden 021,900000,16.01
E02000187,Camden 022,1330000,35.50
E02000188,Camden 023,384500,14.37
E02000189,Camden 024,667200,34.33
E02000190,Camden 025,615000,17.42
E02000191,Camden 026,675000,16.22
E02000192,Camden 027,908000,21.33
E02000193,Camden 028,843000,19.17
E02000194,Croydon 001,465000,10.55
E02000195,Croydon 002,490000,12.58
E02000196,Croydon 003,436250,13.00
E02000197,Croydon 004,423750,11.13
E02000198,Croydon 005,312000,9.41
E02000199,Croydon 006,360000,11.29
E02000200,Croydon 007,315000,9.09
E02000201,Croydon 008,325000,8.51
E02000202,Croydon 009,378500,11.53
E02000203,Croydon 010,320000,10.31
E02000204,Croydon 011,372500,12.46
E02000206,Croydon 013,285000,9.77
E02000207,Croydon 014,355000,10.03
E02000208,Croydon 015,266000,9.21
E02000209,Croydon 016,337250,10.67
E02000210,Croydon 017,369975,10.36
E02000211,Croydon 018,410000,10.56
E02000212,Croydon 019,308500,10.88
E02000213,Croydon 020,295000,8.23
E02000214,Croydon 021,485000,12.34
E02000215,Croydon 022,360000,9.77
E02000216,Croydon 023,430000,9.04
E02000217,Croydon 024,315000,7.65
E02000218,Croydon 025,507300,15.42
E02000219,Croydon 026,538000,12.01
E02000220,Croydon 027,322500,7.79
E02000221,Croydon 028,325000,9.97
E02000222,Croydon 029,362500,8.06
E02000223,Croydon 030,283500,10.59
E02000224,Croydon 031,332250,8.77
E02000225,Croydon 032,343500,10.66
E02000226,Croydon 033,525000,12.16
E02000227,Croydon 034,338500,8.82
E02000228,Croydon 035,618000,13.71
E02000229,Croydon 036,325000,10.63
E02000230,Croydon 037,392000,10.07
E02000231,Croydon 038,727500,16.40
E02000232,Croydon 039,473500,12.80
E02000233,Croydon 040,420000,10.60
E02000234,Croydon 041,455000,13.40
E02000235,Croydon 042,526500,10.18
E02000236,Croydon 043,525000,13.18
E02000237,Croydon 044,465000,11.40
E02000238,Ealing 001,425962,11.97
E02000239,Ealing 002,425000,11.61
E02000240,Ealing 003,390000,12.23
E02000241,Ealing 004,440250,11.78
E02000242,Ealing 005,390000,13.27
E02000243,Ealing 006,455000,12.95
E02000244,Ealing 007,422500,12.10
E02000245,Ealing 008,278000,9.19
E02000246,Ealing 009,400000,12.58
E02000247,Ealing 010,315000,9.92
E02000248,Ealing 011,527500,11.61
E02000249,Ealing 012,419000,13.74
E02000250,Ealing 013,820000,16.16
E02000251,Ealing 014,447500,12.49
E02000252,Ealing 015,382762.5,10.77
E02000253,Ealing 016,450000,14.15
E02000254,Ealing 017,410000,12.45
E02000255,Ealing 018,572500,16.43
E02000256,Ealing 019,476000,12.59
E02000257,Ealing 020,749500,12.93
E02000258,Ealing 021,527500,14.84
E02000259,Ealing 022,542000,14.48
E02000260,Ealing 023,420000,8.89
E02000261,Ealing 024,487500,14.20
E02000262,Ealing 025,490000,14.42
E02000263,Ealing 026,385000,14.14
E02000264,Ealing 027,550000,12.79
E02000265,Ealing 028,525000,13.80
E02000266,Ealing 029,400000,13.16
E02000267,Ealing 030,556000,13.87
E02000268,Ealing 031,572500,14.13
E02000269,Ealing 032,725000,16.17
E02000270,Ealing 033,595000,17.96
E02000271,Ealing 034,983500,20.08
E02000272,Ealing 035,740000,17.57
E02000274,Ealing 037,330500,11.57
E02000275,Ealing 038,420000,19.23
E02000276,Ealing 039,525000,11.31
E02000277,Enfield 001,346500,11.80
E02000278,Enfield 002,350000,11.73
E02000279,Enfield 003,271000,8.37
E02000280,Enfield 004,450500,12.58
E02000281,Enfield 005,385000,11.77
E02000282,Enfield 006,335000,12.17
E02000283,Enfield 007,383000,11.96
E02000284,Enfield 008,380000,12.60
E02000285,Enfield 009,506000,13.14
E02000286,Enfield 010,409000,8.93
E02000287,Enfield 011,850000,16.32
E02000288,Enfield 012,393000,11.80
E02000289,Enfield 013,675000,16.78
E02000290,Enfield 014,312500,9.35
E02000291,Enfield 015,326000,9.50
E02000292,Enfield 016,413000,11.42
E02000293,Enfield 017,783999.5,20.04
E02000294,Enfield 018,367500,12.34
E02000295,Enfield 019,480000,10.35
E02000296,Enfield 020,430000,11.52
E02000297,Enfield 021,535000,14.21
E02000298,Enfield 022,790000,18.02
E02000299,Enfield 023,338000,11.82
E02000300,Enfield 024,370000,12.17
E02000301,Enfield 025,340000,11.23
E02000302,Enfield 026,520000,13.33
E02000303,Enfield 027,337500,11.83
E02000304,Enfield 028,780000,17.52
E02000305,Enfield 029,450000,11.03
E02000306,Enfield 030,252500,9.65
E02000307,Enfield 031,385000,12.03
E02000308,Enfield 032,552500,16.29
E02000309,Enfield 033,340000,11.90
E02000311,Enfield 035,448750,13.77
E02000312,Enfield 036,415000,12.39
E02000313,Greenwich 001,250000,7.12
E02000314,Greenwich 002,282500,8.33
E02000315,Greenwich 003,322000,10.96
E02000316,Greenwich 004,502187.5,10.70
E02000317,Greenwich 005,297500,10.48
E02000318,Greenwich 006,332500,10.27
E02000319,Greenwich 007,355000,9.51
E02000320,Greenwich 008,372500,10.74
E02000321,Greenwich 009,335000,9.78
E02000323,Greenwich 011,365000,13.65
E02000324,Greenwich 012,415000,12.02
E02000326,Greenwich 014,488000,13.34
E02000327,Greenwich 015,430000,12.29
E02000328,Greenwich 016,461250,11.58
E02000329,Greenwich 017,360000,10.55
E02000331,Greenwich 019,323000,8.82
E02000332,Greenwich 020,405000,11.06
E02000333,Greenwich 021,557000,11.59
E02000334,Greenwich 022,430000,11.15
E02000335,Greenwich 023,438000,11.57
E02000337,Greenwich 025,380000,11.16
E02000339,Greenwich 027,547500,12.44
E02000340,Greenwich 028,391950,9.84
E02000341,Greenwich 029,329000,10.28
E02000342,Greenwich 030,430000,11.54
E02000343,Greenwich 031,380000,10.44
E02000344,Greenwich 032,457500,12.04
E02000345,Hackney 001,480000,12.94
E02000346,Hackney 002,490000,16.40
E02000347,Hackney 003,495000,14.69
E02000348,Hackney 004,500000,16.44
E02000350,Hackney 006,455000,12.85
E02000351,Hackney 007,567500,11.41
E02000352,Hackney 008,503750,14.60
E02000353,Hackney 009,887500,16.57
E02000354,Hackney 010,460000,14.69
E02000355,Hackney 011,722500,20.29
E02000356,Hackney 012,621250,16.99
E02000357,Hackney 013,465000,11.79
E02000358,Hackney 014,589500,15.94
E02000359,Hackney 015,785000,19.15
E02000360,Hackney 016,450000,14.13
E02000361,Hackney 017,500000,15.95
E02000362,Hackney 018,390000,11.57
E02000363,Hackney 019,421250,13.28
E02000364,Hackney 020,655000,15.80
E02000365,Hackney 021,630000,15.09
E02000366,Hackney 022,645000,17.49
E02000367,Hackney 023,643750,15.23
E02000368,Hackney 024,535000,16.01
E02000369,Hackney 025,550000,12.93
E02000370,Hackney 026,557500,13.36
E02000371,Hackney 027,507500,14.37
E02000372,Hammersmith and Fulham 001,480000,15.71
E02000373,Hammersmith and Fulham 002,380000,12.83
E02000374,Hammersmith and Fulham 003,665000,19.78
E02000375,Hammersmith and Fulham 004,1020000,27.63
E02000376,Hammersmith and Fulham 005,485000,14.18
E02000377,Hammersmith and Fulham 006,590000,16.06
E02000378,Hammersmith and Fulham 007,545000,13.33
E02000379,Hammersmith and Fulham 008,644500,13.39
E02000380,Hammersmith and Fulham 009,951000,16.86
E02000381,Hammersmith and Fulham 010,812500,20.91
E02000382,Hammersmith and Fulham 011,639000,17.34
E02000383,Hammersmith and Fulham 012,593750,13.67
E02000384,Hammersmith and Fulham 013,844950,24.93
E02000385,Hammersmith and Fulham 014,577500,10.73
E02000386,Hammersmith and Fulham 015,544000,15.69
E02000387,Hammersmith and Fulham 016,685000,17.08
E02000388,Hammersmith and Fulham 017,759687.5,17.62
E02000389,Hammersmith and Fulham 018,1010617.5,23.69
E02000390,Hammersmith and Fulham 019,820000,22.91
E02000391,Hammersmith and Fulham 020,985000,24.94
E02000392,Hammersmith and Fulham 021,924975,18.78
E02000393,Hammersmith and Fulham 022,780000,15.49
E02000394,Hammersmith and Fulham 023,950000,23.36
