area_code,year,quarter,median_rent_per_month,median rent per month adjusted to 2018
E02000001,2016,1,1950,1972.740034
E02000001,2016,2,1906.5,1928.732756
E02000001,2016,3,1993,2016.241481
E02000001,2016,4,1928,1950.48348
E02000002,2016,3,1350,1365.743101
E02000002,2016,4,1175,1188.702328
E02000003,2016,1,1447,1463.874271
E02000003,2016,2,1199,1212.982206
E02000003,2016,3,1277.5,1292.397638
E02000003,2016,4,1250,1264.576945
E02000005,2016,1,1600,1618.65849
E02000005,2016,2,1300,1315.160023
E02000005,2016,3,1325,1340.451562
E02000005,2016,4,1375,1391.034639
E02000007,2016,1,1395,1411.267871
E02000007,2016,2,1508.5,1526.091457
E02000008,2016,1,1250,1264.576945
E02000008,2016,2,1300,1315.160023
E02000008,2016,3,1350,1365.743101
E02000008,2016,4,1375,1391.034639
E02000009,2016,1,1100,1112.827712
E02000009,2016,2,1348,1363.719777
E02000009,2016,3,1250,1264.576945
E02000009,2016,4,1200,1213.993867
E02000010,2016,2,1200,1213.993867
E02000010,2016,3,1350,1365.743101
E02000011,2016,1,1312.5,1327.805792
E02000011,2016,2,1387.5,1403.680409
E02000011,2016,3,1275,1289.868484
E02000011,2016,4,1212.5,1226.639637
E02000012,2016,1,1250,1264.576945
E02000012,2016,3,1340,1355.626485
E02000012,2016,4,1600,1618.65849
E02000013,2016,1,1452,1468.932579
E02000013,2016,3,1362.5,1378.38887
E02000013,2016,4,1362.5,1378.38887
E02000014,2016,1,1400,1416.326178
E02000014,2016,2,1148,1161.387466
E02000014,2016,3,1400,1416.326178
E02000014,2016,4,1300,1315.160023
E02000015,2016,4,1250,1264.576945
E02000016,2016,1,1075,1087.536173
E02000016,2016,2,1101,1113.839373
E02000016,2016,3,1049,1061.232972
E02000016,2016,4,1101,1113.839373
E02000017,2016,1,1400,1416.326178
E02000017,2016,2,1325,1340.451562
E02000017,2016,3,1250,1264.576945
E02000017,2016,4,1550,1568.075412
E02000018,2016,1,1348,1363.719777
E02000018,2016,2,1300,1315.160023
E02000018,2016,3,1287.5,1302.514253
E02000018,2016,4,1375,1391.034639
E02000019,2016,1,1275,1289.868484
E02000019,2016,3,1352,1367.766424
E02000019,2016,4,1300,1315.160023
E02000020,2016,1,1300,1315.160023
E02000020,2016,2,1387.5,1403.680409
E02000020,2016,3,1600,1618.65849
E02000020,2016,4,1400,1416.326178
E02000021,2016,1,1300,1315.160023
E02000021,2016,2,1200,1213.993867
E02000021,2016,3,1322.5,1337.922408
E02000021,2016,4,1324,1339.4399
E02000022,2016,2,1049.5,1061.738803
E02000022,2016,3,1000,1011.661556
E02000023,2016,1,1300,1315.160023
E02000023,2016,2,1200,1213.993867
E02000023,2016,3,1375,1391.034639
E02000024,2016,1,1300,1315.160023
E02000024,2016,2,1300,1315.160023
E02000024,2016,3,1248,1262.553622
E02000024,2016,4,1200,1213.993867
E02000025,2016,1,1300,1315.160023
E02000025,2016,2,1320,1335.393254
E02000025,2016,3,1325,1340.451562
E02000025,2016,4,1224,1238.273745
E02000026,2016,1,1361,1376.871378
E02000026,2016,2,1600,1618.65849
E02000026,2016,3,1755,1775.466031
E02000026,2016,4,2050,2073.90619
E02000027,2016,1,1391,1407.221224
E02000027,2016,2,1307.5,1322.747484
E02000027,2016,3,1525,1542.783873
