MR,MH,AR,EH,PR,ALP
1.792871044,1.612827704,0.55203018,1.976920678,0.868003744,2.002276525
1.072615811,-1.424533019,-0.74123799,-1.087596257,-1.265758561,0.433761927
1.117640479,-1.624816033,-1.47937536,-0.503090299,-0.501501429,-0.45439629
1.261092344,-1.586443364,-1.057564938,-1.087596257,-0.907584193,-1.454985224
1.324741525,-1.624816033,-0.985904349,-0.413002038,-0.501501429,-0.45439629
1.153411049,-1.703416124,-1.28545291,-0.607769054,-0.907584193,-0.759372037
1.014791626,-1.817810713,-1.559701738,-0.607769054,-1.265758561,0.89448899
1.09104871,-1.784591075,-1.17987319,-1.087596257,-0.570789896,-1.322287127
1.122639021,-1.431657352,-1.042036036,-1.087596257,-0.725229283,-0.966905135
1.256867153,-0.239177257,-0.049576574,-1.375336814,-0.907584193,-0.759372037
1.251350891,-1.703416124,-1.006170469,-0.413002038,-1.422440464,-0.070492567
1.144000874,-1.624816033,-1.152784475,-0.886620636,-0.570789896,-1.548082129
1.053896774,-2.333624445,-1.584888878,-1.087596257,-1.847461061,-0.45439629
0.769459036,-3.537034013,-3.327352204,0.045985379,-0.375435119,-0.482889777
1.237119659,-1.075603086,-0.379304954,-0.732524401,-0.375435119,-1.197180008
1.165670257,-1.663801983,-1.163585959,-0.732524401,-0.907584193,-0.930848077
1.139794358,-1.868470291,-1.30251652,-1.87963184,-0.645089544,-1.852892163
1.288436793,-1.703495992,-1.36603193,-0.503090299,-0.317677902,-0.45439629
1.10794075,-2.04490416,-1.51616137,-1.375336814,-1.265758561,-0.601120212
0.657593428,-1.504185335,-1.912783089,-0.607769054,-0.645089544,-0.45439629
1.115193064,-1.703416124,-1.934094855,-0.732524401,-0.501501429,0.248464364
1.071872591,0.755839173,0.040900145,-0.142764831,-0.375435119,0.10643574
1.116029333,-0.541253331,-1.067970812,-0.263666195,-1.131185118,0.433761927
1.579107721,0.817928136,0.815014585,-0.607769054,-1.265758561,-0.215020633
1.236635044,0.285046905,0.817010288,-0.263666195,-0.262922144,-0.19015971
1.079653628,0.011773071,-0.168846177,-1.087596257,-0.907584193,-1.003591459
1.119070779,-0.588940503,-0.059524139,-0.413002038,-1.422440464,-1.117626451
1.688452449,0.875045171,1.410703735,-0.607769054,-0.501501429,0.085218061
1.474430985,0.86195459,0.46462025,-0.607769054,-0.210857502,-0.45439629
1.381931698,0.898986531,0.971984742,-0.263666195,-0.436562238,-0.240207327
1.264724019,0.052390283,0.431895583,-0.413002038,-0.262922144,-1.157034908
1.189137078,-0.46096777,-0.137492462,-0.200339483,-0.161220044,-0.45439629
1.316339842,0.052390283,-0.17940604,0.003854829,-0.375435119,0.042039209
1.195014496,0.211307153,0.215630062,-1.375336814,-0.436562238,-1.746698604
1.374002269,0.948978744,1.036706573,-1.087596257,-0.068351822,-0.631798784
1.284570638,0.39594771,0.596349241,0.085448981,0.424923892,-0.19015971
1.401670003,1.621886342,1.665407677,-0.333989343,-0.375435119,0.042039209
